Goaltender,IceX,IceY,Save
Jones,29.54954301,61.17426458,Yes
Jones,41.20266937,86.44176845,Yes
Jones,78.15972726,36.30156546,Yes
Jones,45.86391992,51.30414588,Yes
Jones,36.8743653,35.90676071,No
Jones,41.53561584,85.65215895,Yes
Jones,38.20615117,24.06261827,Yes
Jones,49.52633106,27.22105625,Yes
Jones,39.53793704,25.24703251,No
Jones,46.52981285,30.37949424,No
Jones,47.19570579,18.14054705,Yes
Jones,25.22123894,13.79769482,Yes
Jones,7.908022632,58.41063134,Yes
Jones,75.82910199,63.93789782,Yes
Jones,44.19918758,24.06261827,Yes
Jones,37.8732047,24.06261827,No
Jones,11.90338024,35.11715121,Yes
Jones,32.21311475,83.67813521,Yes
Jones,30.88132888,85.65215895,Yes
Jones,41.53561584,28.4054705,Yes
Jones,5.57739736,22.48339928,Yes
Jones,8.240969099,71.43918803,Yes
Jones,52.1899028,62.35867882,Yes
Jones,9.905701436,69.07035954,Yes
Jones,32.87900769,28.01066575,Yes
Jones,39.53793704,24.45742302,Yes
Jones,47.52865226,29.58988474,Yes
Jones,59.84767155,18.5353518,Yes
Jones,55.85231394,62.35867882,Yes
Jones,9.905701436,65.12231206,Yes
Jones,37.20731177,55.64699811,Yes
Jones,68.17133324,69.46516429,Yes
Jones,9.239808501,68.67555479,Yes
Jones,44.86508052,24.45742302,Yes
Jones,7.908022632,58.80543609,Yes
Jones,4.911504425,58.41063134,Yes
Jones,41.20266937,26.82625151,No
Jones,3.246772088,28.4054705,Yes
Jones,40.86972291,27.615861,Yes
Jones,16.56463078,74.20282126,Yes
Jones,78.15972726,59.59504559,Yes
Jones,25.88713187,69.85996903,Yes
Jones,39.87088351,31.16910373,Yes
Jones,73.49847672,19.32496129,Yes
Jones,78.49267373,54.46258386,Yes
Jones,39.87088351,34.32754172,No
Jones,12.23632671,45.77687941,Yes
Jones,30.88132888,25.64183726,Yes
Jones,26.22007834,37.88078445,Yes
Jones,34.21079356,86.0469637,Yes
Jones,81.15624547,37.4859797,Yes
Jones,9.905701436,33.53793222,Yes
Jones,35.8755259,59.20024084,Yes
Jones,33.54490062,37.09117495,Yes
Jones,18.56230959,54.06777912,Yes
Jones,45.53097345,86.44176845,Yes
Jones,10.2386479,25.64183726,Yes
Jones,77.49383432,56.83141235,Yes
Jones,14.89989845,55.25219336,Yes
Jones,36.54141883,60.38465508,Yes
Jones,17.23052372,22.08859453,Yes
Jones,5.910343827,69.46516429,Yes
Jones,4.911504425,46.5664889,Yes
Jones,11.57043377,70.25477378,Yes
Jones,17.89641665,86.0469637,Yes
Jones,40.53677644,29.58988474,Yes
Brown,52.1899028,43.01324617,Yes
Brown,38.53909764,71.83399277,Yes
Brown,61.17945742,57.62102185,Yes
Brown,50.192224,66.3067263,Yes
Brown,39.20499057,24.85222777,Yes
Brown,45.19802698,28.4054705,Yes
Brown,39.20499057,57.2262171,Yes
Brown,49.85927753,69.07035954,Yes
Brown,42.53445524,59.20024084,Yes
Brown,47.19570579,25.64183726,Yes
Brown,39.20499057,24.85222777,Yes
Brown,26.55302481,44.59246516,Yes
Brown,48.19454519,28.4054705,Yes
Brown,64.84186856,48.54051264,Yes
Brown,40.20382997,30.77429899,Yes
Brown,27.21891774,45.38207466,Yes
Brown,37.8732047,69.07035954,Yes
Brown,51.1910634,40.64441768,Yes
Brown,46.19686639,22.87820403,No
Jones,5.57739736,67.0963358,Yes
Jones,11.23748731,61.96387408,Yes
Jones,75.49615552,22.08859453,Yes
Jones,46.52981285,25.64183726,Yes
Jones,37.20731177,51.69895063,Yes
Jones,14.56695198,54.06777912,Yes
Jones,40.53677644,25.64183726,Yes
Jones,42.86740171,26.82625151,Yes
Jones,5.244450892,53.27816962,Yes
Jones,39.87088351,45.77687941,Yes
Jones,7.908022632,59.59504559,Yes
Jones,10.90454084,69.46516429,Yes
Jones,50.52517046,18.5353518,Yes
Jones,31.54722182,74.20282126,Yes
Jones,49.19338459,61.17426458,Yes
Jones,47.86159872,65.12231206,Yes
Jones,15.23284492,35.90676071,Yes
Jones,68.83722617,50.11973164,Yes
Jones,39.53793704,25.24703251,Yes
Jones,39.53793704,24.45742302,No
Jones,23.5565066,20.50937554,Yes
Jones,27.88481068,18.93015655,Yes
Jones,21.89177426,57.62102185,Yes
Jones,29.54954301,24.85222777,Yes
Jones,39.53793704,50.11973164,Yes
Jones,31.88016829,26.43144676,Yes
Jones,33.87784709,21.29898503,Yes
Jones,36.54141883,50.51453638,Yes
Jones,4.578557957,56.83141235,Yes
Jones,43.86624111,29.19507999,Yes
Jones,58.18293921,67.8859453,Yes
Jones,46.52981285,56.04180286,Yes
Jones,11.57043377,20.90418029,Yes
Jones,41.86856231,27.22105625,Yes
Jones,49.19338459,29.19507999,Yes
Jones,49.19338459,66.3067263,Yes
Jones,29.88248948,21.69378978,Yes
Jones,59.84767155,18.93015655,Yes
Jones,43.86624111,39.85480819,Yes
Jones,44.53213405,26.03664201,Yes
Jones,47.52865226,18.5353518,Yes
Jones,12.56927318,74.20282126,Yes
Brown,50.85811693,30.37949424,Yes
Brown,27.88481068,42.61844142,Yes
